"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-05-12","0.00",,
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-05-13","0.00","94","67"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-05-14","0.00","95","65"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-05-15","0.00","98","64"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-05-16","0.00","97","64"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-05-17","0.00","88","63"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-05-18","0.00","93","60"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-05-19","0.00","94","60"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-05-20","0.00","100","63"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-05-21","0.00","103","62"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-05-22","0.00","98","58"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-05-23","0.00","92","62"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-05-24","0.00","92","62"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-05-25","0.00","94","64"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-05-26","0.00","103","70"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-05-27","0.00","106","65"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-05-28","0.00","99","70"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-05-29","0.00","100","62"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-05-30","0.00","102","62"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-05-31","0.00","102","64"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-06-01","0.00","105","73"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-06-02","0.00","103","73"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-06-03","0.00","102","64"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-06-04","0.00","104","65"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-06-05","0.00","106","64"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-06-06","0.00","91","64"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-06-07","0.00","89","60"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-06-08","0.00","95","63"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-06-09","0.00","101","60"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-06-10","0.00","103","74"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-06-11","0.00","100","69"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-06-12","0.00","98","68"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-06-13","0.00","96","69"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-06-14","0.00","96","67"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-06-15","0.00","98","70"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-06-16","0.00","98","68"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-06-17","0.00","101","69"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-06-18","0.00","106","72"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-06-19","0.00","103","67"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-06-20","0.00","105","66"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-06-21","0.00","104","65"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-06-22","0.00","99","65"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-06-23","0.00","97","65"
