STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/1/1998,0,0,0,,78,37
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/2/1998,0,0,0,,73,34
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/3/1998,0,0,0,,73,41
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/4/1998,0,0,0,,72,45
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/5/1998,0,0,0,,68,37
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/6/1998,0,0,0,,69,28
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/7/1998,0,0,0,,67,25
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/8/1998,0,0,0,,64,32
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/9/1998,0.12,0,0,,59,32
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/10/1998,0.21,0,0,,62,40
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/11/1998,0,0,0,,66,36
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/12/1998,0,0,0,,69,39
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/13/1998,0,0,0,,73,38
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/14/1998,0,0,0,,74,40
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/15/1998,0,0,0,,70,39
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/16/1998,0,0,0,,78,44
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/17/1998,0,0,0,,78,44
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/18/1998,0,0,0,,75,40
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/19/1998,0,0,0,,72,48
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/20/1998,0,0,0,,67,48
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/21/1998,0,0,0,,72,35
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/22/1998,0,0,0,,73,32
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/23/1998,0,0,0,,73,30
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/24/1998,0,0,0,,78,33
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/25/1998,0,0,0,,79,36
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/26/1998,0,0,0,,76,33
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/27/1998,0,0,0,,78,37
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/28/1998,0,0,0,,78,34
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/29/1998,0,0,0,,73,38
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/30/1998,0,0,0,,78,40
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1/31/1998,0,0,0,,70,38
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2/1/1998,0,0,0,,73,38
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2/2/1998,0,0,0,,72,42
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2/3/1998,0.35,0,0,,60,48
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2/4/1998,0,0,0,,68,46
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2/5/1998,0,0,0,,69,36
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2/6/1998,0.12,0,0,,62,40
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2/7/1998,0,0,0,,68,46
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",2/8/1998,0.14,0,0,,64,48
